Team,Conference,plays,drives,ppa,totalPPA,successRate,explosiveness,powerSuccess,stuffRate,lineYards,lineYardsTotal,secondLevelYards,secondLevelYardsTotal,openFieldYards,openFieldYardsTotal,standardDowns_ppa,standardDowns_successRate,standardDowns_explosiveness,passingDowns_ppa,passingDowns_successRate,passingDowns_explosiveness,rushingPlays_ppa,rushingPlays_totalPPA,rushingPlays_successRate,rushingPlays_explosiveness,passingPlays_ppa,passingPlays_totalPPA,passingPlays_successRate,passingPlays_explosiveness
Connecticut,Independent,65.25,11.75,0.233467179,15.10532476,0.460793395,1.258573913,0.770833333,0.208162868,2.759200965,96.41666667,1.014204733,35.16666667,1.249146767,42.83333333,0.168659236,0.510791587,1.082115,0.380073303,0.347359061,1.821732914,0.056903265,3.364657692,0.414123889,0.998591822,0.411925994,12.99374443,0.499437835,1.462045725
Duke,ACC,66.84615385,11.15384615,0.132705248,9.296633229,0.419215709,1.206578634,0.689438339,0.173246422,3.097609457,103.2307692,1.057693806,35.38461538,0.836588778,27.92307692,0.062377063,0.46933632,0.951663188,0.321093014,0.315957073,2.0067163,0.089891994,3.077453267,0.414611835,0.994211906,0.232442611,6.767702527,0.44683999,1.396136238
East Carolina,American,63,13,0.132816338,8.587717419,0.340278926,1.539488177,0.561111111,0.228044053,2.494190276,82.58333333,0.869291173,29.5,1.221425565,41.75,-0.037532238,0.352051902,1.216514476,0.416619222,0.321267855,2.156133311,-0.004745154,-0.132269279,0.296143948,1.227209653,0.30394605,9.272521277,0.392817924,1.804333072
Eastern Michigan,MAC,66.76923077,11.46153846,0.197773822,12.61314493,0.431387844,1.261029346,0.722344322,0.131290044,3.485894046,126.4615385,1.319827036,47.38461538,1.37152577,47.15384615,0.056643922,0.471645053,0.920746266,0.538447518,0.342745697,2.371481984,0.216972841,6.984992237,0.470012469,0.9969366,0.266650093,7.106122075,0.394606244,1.660528421
Florida,SEC,58.5,11.58333333,0.21551386,13.8091797,0.370516654,1.594351905,0.470833333,0.187465628,2.873268925,87.5,1.142304801,35.16666667,1.842310818,58.91666667,0.154586863,0.412830926,1.369018937,0.32528819,0.284356948,2.201682807,0.131306643,4.500950853,0.342879748,1.410758235,0.334572511,9.903705016,0.404688363,1.771869575
Florida Atlantic,American,73.16666667,12.58333333,0.178881605,13.09476198,0.424532246,1.23440199,0.728769841,0.123825398,3.22700507,120.6666667,1.004159904,37.41666667,0.824147107,30.16666667,0.101826918,0.476137428,0.962880151,0.33299204,0.327748496,2.046849912,0.07294259,2.929473465,0.406086932,0.836759917,0.332349367,11.7339028,0.452098667,1.58896111
Florida International,C-USA,69.83333333,13,0.19157943,12.87780403,0.411146816,1.355413663,0.892361111,0.178601111,3.082591404,115.5833333,1.125906721,42.25,1.396193521,52.16666667,0.14296499,0.473224105,1.085830009,0.307121453,0.287405387,2.271046911,0.06662775,3.087097383,0.402732358,0.978161908,0.364833246,11.09284057,0.413741526,1.801420247
Florida State,ACC,65.64285714,12.5,0.070910962,5.140666149,0.359713845,1.280680179,0.71037415,0.204629576,2.76915142,92.85714286,1.085187682,36.42857143,1.829808071,61.85714286,0.007984559,0.398021606,1.051230796,0.243030651,0.296873244,1.887532507,0.116942792,4.123941571,0.400742299,1.074218496,0.055454949,1.764308533,0.320934739,1.560950747
Fresno State,Mountain West,68.30769231,11.69230769,0.150524392,10.80947802,0.403899628,1.257802476,0.725457875,0.190124409,3.014870477,110.9230769,1.13360833,41.53846154,0.931889536,37.07692308,0.073375147,0.443251897,1.022843794,0.279776276,0.310977342,1.947615487,0.10126155,4.245889998,0.414829482,0.915340153,0.289411782,8.792725508,0.41045535,1.645553509
Georgia,SEC,60.28571429,11.21428571,0.074103827,4.386753737,0.373886147,1.238228561,0.72202381,0.212516352,2.851801744,82.21428571,1.087317198,30.78571429,0.93020876,27.23076923,0.0205079,0.436352305,1.032973458,0.119527926,0.238018804,2.05645412,0.088003842,3.356985859,0.400285647,1.023643425,0.039449799,1.340537063,0.349289408,1.430984837
Georgia Southern,Sun Belt,64.38461538,12.76923077,0.238462086,15.68249648,0.433149963,1.347351526,0.682478632,0.188092199,3.038260839,100.2307692,1.222742337,40.76923077,1.541603205,51.15384615,0.139141194,0.474892262,1.098324184,0.460030192,0.33454079,2.19162171,0.212685622,7.421249055,0.425415636,1.192696613,0.242094129,9.12138492,0.426047718,1.541485794
Georgia State,Sun Belt,66.84615385,11.92307692,0.227292736,14.59403268,0.429489976,1.402776578,0.6,0.199057036,3.037090417,96.15384615,1.110423605,34.69230769,1.471696164,45.23076923,0.117628344,0.474221142,1.134551045,0.41522205,0.324325499,2.203237515,0.124366272,3.996478648,0.402941291,1.155378799,0.410287839,12.81818323,0.464211897,1.618992464
Georgia Tech,ACC,69.36363636,11.54545455,0.217776341,15.14003184,0.455926802,1.189704051,0.882251082,0.13654066,3.529999106,137.8181818,1.247737817,48.90909091,1.28324368,51.54545455,0.184512781,0.516311627,0.973453112,0.274993223,0.302197799,2.055756223,0.251343165,9.850820828,0.47795129,0.996313453,0.253163327,7.718223867,0.434789726,1.448884321
Hawai'i,Mountain West,61,11.53846154,0.235911428,14.22746941,0.427610032,1.365450006,0.712606838,0.199096038,3.05366926,107.7692308,1.214981156,41.92307692,1.34451352,48.30769231,0.123866232,0.473012643,1.101270871,0.437605492,0.314010949,2.092127589,0.139675184,5.056644725,0.427650184,1.05759443,0.471152886,10.07990206,0.432687274,1.884950926
Houston,Big 12,70.66666667,11.25,0.240071187,17.5595226,0.447912678,1.283457553,0.728670635,0.165593743,3.152885291,115.8333333,1.088603435,41.25,1.127027563,40.72727273,0.145473112,0.482295365,1.015652709,0.437291861,0.359709585,2.061119609,0.206084526,7.591303054,0.442800033,1.086198722,0.331270636,11.70047972,0.458035305,1.53034967
Illinois,Big Ten,70.25,12.41666667,0.191789266,13.56041586,0.439176416,1.171312685,0.724206349,0.152240844,3.276531555,118,1.083014925,39.41666667,0.901828818,32.58333333,0.138627477,0.482401202,0.980183123,0.314221892,0.337058797,1.89937668,0.142135286,5.193697678,0.433655615,0.906247435,0.302418821,9.50171202,0.450716611,1.480585912
Indiana,Big Ten,66.16666667,12.16666667,0.234130288,16.06370589,0.457393627,1.18126035,0.778499278,0.15783353,3.262644821,112.9166667,1.201909903,40.58333333,1.119209818,37.41666667,0.159258977,0.5079659,0.933210226,0.402172137,0.323569835,2.152657687,0.145076196,4.90749122,0.463830757,0.90513915,0.362239504,12.081061,0.440061863,1.684584692
Iowa,Big Ten,68.71428571,12.92857143,0.003023464,0.576219456,0.345036928,1.125685383,0.697132035,0.145390833,2.866832247,95.57142857,0.705277805,23.5,0.381205148,13.5,-0.086220992,0.393656733,0.841220839,0.147188359,0.252184901,1.737772624,-0.02942178,-0.326337981,0.358698424,0.757852755,0.090169216,2.845818623,0.336677146,1.565006046
Iowa State,Big 12,69.07692308,11.53846154,0.124838101,8.661582808,0.390933036,1.289112282,0.695238095,0.192669953,2.846470209,94.76923077,1.006916346,33.30769231,0.888980692,26.76923077,0.086998419,0.444016037,1.103190757,0.205564831,0.286342183,1.858155216,0.077882039,2.42157978,0.40975834,0.949412937,0.242961841,8.125805289,0.38537862,1.654410331
Kansas,Big 12,65.53846154,11.38461538,0.194399766,13.09311104,0.443429476,1.240553744,0.806471306,0.111936663,3.226358572,111.9230769,1.097782332,38.23076923,1.295081221,43.84615385,0.14878483,0.503896805,1.05565654,0.282375206,0.298850897,1.888363697,0.182586321,7.1152855,0.444810906,1.085093441,0.213301788,6.846432823,0.439177957,1.433585863
Kansas State,Big 12,64.07692308,12.38461538,0.16087861,8.18843165,0.37299446,1.551827956,0.622710623,0.243577695,2.763333836,81.30769231,1.016626748,30.07692308,2.288048262,62.83333333,0.10527237,0.430005322,1.344750255,0.261018725,0.266653595,2.099004463,0.114814688,3.573762501,0.366185051,1.29137129,0.287990975,6.420455177,0.393452883,1.767015037
Kent State,MAC,64.25,11.75,0.284349813,18.86168022,0.437841037,1.353787328,0.765533309,0.157778446,3.101210025,118.0833333,1.046583613,40.66666667,1.460062059,57.16666667,0.255819044,0.489089012,1.162386421,0.342451062,0.327213968,1.956619319,0.187071834,8.142592124,0.440659371,1.073075316,0.404568346,11.77493918,0.428003144,1.731272461
Kentucky,SEC,66.76923077,11.84615385,0.152912599,10.33728514,0.431173493,1.165605956,0.746153846,0.194373856,2.908419646,91.23076923,0.933145587,29.84615385,0.679713465,22.91666667,0.030309057,0.484664316,0.905098071,0.437688579,0.317557224,2.038822403,0.091706012,2.747148719,0.423931458,0.866723737,0.300440494,8.066257684,0.465463808,1.445888826
LSU,SEC,67.46153846,11.30769231,0.25975189,18.73668796,0.429281844,1.386743442,0.847252747,0.140672263,3.21955865,107.3076923,1.241338431,40.38461538,1.396763451,40.69230769,0.159634067,0.479247831,1.061170591,0.46805415,0.319594231,2.392490529,0.239108603,7.481417688,0.439597735,1.129359136,0.312652524,12.13939573,0.428046264,1.64511923
Liberty,Independent,64.21428571,11.5,0.165661497,10.66039832,0.418959559,1.334861787,0.799829932,0.187362116,3.063806314,81.5,1.18445544,31.42857143,1.095946742,29,0.146514977,0.477253036,1.087714053,0.194411374,0.286315533,2.246607243,0.161978032,4.250912157,0.448809952,0.977930263,0.222290599,8.590697844,0.400506705,1.653014585
Louisiana,Sun Belt,72.61538462,12.30769231,0.178637511,12.73649341,0.448963076,1.150873195,0.876373626,0.108038324,3.336455856,136.9230769,0.998644104,40.92307692,0.740657509,26.23076923,0.145666093,0.490137005,0.979669575,0.271193007,0.321505357,1.975109818,0.164709308,7.232500908,0.46757839,0.915055311,0.266383008,7.118999233,0.433417904,1.619035135
Louisiana Monroe,Sun Belt,72.91666667,12.25,0.260348216,18.9783686,0.4645589,1.268965555,0.709722222,0.189082217,3.102572993,121.0833333,1.133758806,44.16666667,0.971749532,37,0.136042077,0.494453967,1.01814117,0.565527966,0.408606016,2.04768904,0.11496648,4.718040062,0.451970133,0.874265656,0.531217571,16.45485176,0.495314831,1.748761712
Louisiana Tech,C-USA,68.08333333,12.33333333,0.225052519,15.51628958,0.416499317,1.409308977,0.798412698,0.166601093,3.163969438,129.75,1.175520845,49.25,1.969755633,82.16666667,0.174799025,0.472091922,1.164605533,0.347109007,0.299064486,2.197134355,0.242455809,10.65870236,0.458516774,1.14511255,0.16215157,5.680147364,0.337571154,1.902265507
Louisville,ACC,58.53846154,12.30769231,0.070529788,4.376071302,0.349775365,1.383095246,0.656410256,0.250846116,2.382252964,63.76923077,0.983763054,26.07692308,1.044339905,28.61538462,-0.039631361,0.417490131,1.08980852,0.267519597,0.241050021,2.360959841,-0.02710666,-0.448148622,0.343594602,0.985449624,0.149697251,5.652558146,0.344209331,1.72311352
Marshall,Sun Belt,67.76923077,13.53846154,0.129046354,8.71278726,0.373602853,1.484945236,0.596153846,0.19591095,2.77434166,92.15384615,0.99310969,32.53846154,1.943038795,60.38461538,0.060579373,0.413006907,1.224816417,0.282101219,0.297168767,2.187982814,0.094200448,3.123497214,0.363387063,1.248392341,0.21623544,6.847598946,0.396573773,1.67804208
Maryland,Big Ten,67.84615385,11.46153846,0.110176035,7.316686929,0.408046623,1.160103948,0.748504274,0.135497138,3.181518054,107.3846154,0.913024295,30.53846154,0.486942464,16.46153846,0.050692777,0.456274534,0.987692945,0.233700389,0.284860432,1.857270929,0.129052743,4.450459382,0.438380584,0.867434772,0.181892566,5.608607526,0.389835805,1.496880497
